date,archetype
2014-01-20,UW Control decks
2014-01-20,UW Control decks
2014-01-20,UWx Midrange decks
2014-01-20,UWx Midrange decks
2014-01-20,UWx Midrange decks
2014-01-21,Boros Aggro decks
2014-01-21,Devotion to Black decks
2014-01-21,Devotion to Black decks
2014-01-21,Devotion to Red decks
2014-01-21,Esper Control decks
2014-01-21,Esper Midrange decks
2014-01-21,Red Deck Wins decks
2014-01-21,UW Control decks
2014-01-22,Boros Aggro decks
2014-01-22,Devotion to Black decks
2014-01-22,Devotion to Black decks
2014-01-22,Devotion to Black decks
2014-01-22,Devotion to Black decks
2014-01-22,Devotion to Red decks
2014-01-22,Esper Control decks
2014-01-22,Gruul Aggro decks
2014-01-22,Gruul Aggro decks
2014-01-22,Mono Blue Aggro decks
2014-01-22,Mono Blue Aggro decks
2014-01-22,Mono Blue Aggro decks
2014-01-22,Mono Blue Aggro decks
2014-01-22,Rakdos Control decks
2014-01-22,UB Control decks
2014-01-22,UW Control decks
2014-01-23,Devotion to Black decks
2014-01-23,Devotion to Red decks
2014-01-23,Devotion to Red decks
2014-01-23,Green Ramp decks
2014-01-23,Gruul Aggro decks
2014-01-23,Mono Blue Aggro decks
2014-01-23,Mono Blue Aggro decks
2014-01-23,Orzhov Control decks
2014-01-24,Boros Aggro decks
2014-01-24,Devotion to Black decks
2014-01-24,Devotion to Black decks
2014-01-24,Devotion to Black decks
2014-01-24,Devotion to Black decks
2014-01-24,Devotion to Red decks
2014-01-24,Devotion to Red decks
2014-01-24,Devotion to Red decks
2014-01-24,Esper Midrange decks
2014-01-24,Mono Blue Aggro decks
2014-01-24,Mono Blue Aggro decks
2014-01-24,Mono Blue Aggro decks
2014-01-24,Naya Control decks
2014-01-24,Orzhov Control decks
2014-01-24,Red Deck Wins decks
2014-01-24,UW Control decks
2014-01-25,Devotion to Black decks
2014-01-25,Esper Control decks
2014-01-25,Esper Control decks
2014-01-25,Green Ramp decks
2014-01-25,Green Ramp decks
2014-01-25,Gruul Aggro decks
2014-02-04,Creatures Toolbox decks
2014-02-04,Creatures Toolbox decks
2014-02-04,Merfolk decks
2014-02-04,Twin Exarch decks
2014-02-04,UR Aggro decks
2014-02-04,UrzaTron decks
2014-02-06,Creatures Toolbox decks
2014-02-06,Gift Control decks
2014-02-06,Jund decks
2014-02-06,Merfolk decks
2014-02-06,Red Deck Wins decks
2014-02-06,Twin Exarch decks
2014-02-07,Affinity decks
2014-02-07,Creatures Toolbox decks
2014-02-07,Delverless RUG decks
2014-02-07,Merfolk decks
2014-02-07,UrzaTron decks
2014-02-07,UWx Midrange decks
2014-02-07,Zoo decks
2014-02-08,Amulet Titan decks
2014-02-08,Creatures Toolbox decks
2014-02-08,Creatures Toolbox decks
2014-02-08,Creatures Toolbox decks
2014-02-08,Gruul Aggro decks
2014-02-08,Hatebear decks
2014-02-08,Infect decks
2014-02-08,Infect decks
2014-02-08,Jund decks
2014-02-08,Martyr Life decks
2014-02-08,Merfolk decks
2014-02-08,Merfolk decks
2014-02-08,Red Deck Wins decks
2014-02-08,Tokens decks
2014-02-08,Twin Exarch decks
2014-02-08,UR Aggro decks
2014-02-08,UrzaTron decks
2014-02-08,UrzaTron decks
2014-02-08,UW Control decks
2014-02-08,UW Control decks
2014-02-08,UWx Midrange decks
2014-02-08,UWx Midrange decks
2014-02-08,UWx Midrange decks
2014-02-09,Affinity decks
2014-02-09,Affinity decks
2014-02-09,Amulet Titan decks
2014-02-09,Faeries decks
2014-02-09,Merfolk decks
2014-02-09,UW Control decks
2014-02-09,UWx Midrange decks
2014-02-10,Devotion to Black decks
2014-02-10,Devotion to Black decks
2014-02-10,Devotion to Black decks
2014-02-10,Esper Midrange decks
2014-02-10,Esper Midrange decks
2014-02-10,Gruul Aggro decks
2014-02-10,Gruul Aggro decks
2014-02-10,Mono Blue Aggro decks
2014-02-10,Naya Control decks
2014-02-10,Orzhov Control decks
2014-02-10,Orzhov Control decks
2014-02-10,Red Deck Wins decks
2014-02-10,UW Control decks
